id,Body Mass (g)
0,4466.566180508568
1,5711.85709800501
2,3734.1032162431593
3,3496.23885932348
4,3555.0213773426253
5,4307.637041976395
6,4709.416114438493
7,5340.484789067135
8,4925.054108561814
9,4056.6659798978635
10,4293.62947457887
11,4704.537575901032
12,4830.375929944516
13,4795.867535241269
14,5120.404573349101
15,5273.914009233389
16,4321.004970519473
17,4030.971878097546
18,3611.9406004028324
19,3687.862317044335
20,4375.398963432107
21,5598.337375655454
22,5498.1487022780075
23,4188.746481701782
24,3605.389864536177
25,4704.362116870886
26,3685.006134590688
27,4089.131191304551
28,4316.328144935536
29,4913.105728357842
30,3751.7945227486807
31,4850.043318281621
32,3646.7367794381435
33,5093.126995772192
34,4138.921471490078
35,3307.1778492644667
36,4676.549314470916
37,3962.710718004861
38,4186.337843691274
39,4723.299233288971
40,4190.499290832928
41,3876.7745943370833
42,4046.6191534665586
43,5439.510929367834
44,3891.3578319818707
45,4816.274327426529
46,3787.704689381651
47,4443.825157355951
48,4831.733031655642
49,5553.152657646018
50,3884.153046659515
51,4255.394351286058
52,3426.4550515747715
53,4367.5378259129275
54,4298.845300630711
55,4114.5380414067495
56,4836.4341332910635
57,4274.79277837122
58,4850.108029338369
59,3824.463902173214
60,4291.739156407017
61,3781.126669886655
62,4135.271037594407
63,5549.067392860676
64,3433.4166248292895
65,4289.303051602857
66,4270.851131329755
67,4740.392765908169
68,3918.2406489628634
69,4077.357776086782
70,4853.438626346175
71,3426.9808591564556
72,3637.728694731766
73,3658.6039378781634
74,5467.920737042124
75,4528.476408598592
76,3488.2387292644466
77,4041.5675557333097
78,5394.631857335047
79,4894.957045779438
80,4178.2233749585475
81,3594.8187015639764
82,4352.883488575731
83,4914.392457824121
84,5290.725820831944
85,4189.985216906018
86,5339.164403283881
87,4308.682331994211
88,3648.617864751306
89,5156.528426191405
90,4595.149682837606
91,3684.7776537721115
92,3828.471764241105
93,3903.1018373094576
94,3513.142388927112
95,3604.085644319587
96,3806.058578913514
97,3239.435144164892
98,5085.703426198652
99,4232.6272824708185
100,3699.475551970129
101,3444.2645034609754
102,3541.598083774314
103,5410.402374054842
104,5948.655730952429
105,3408.539704137065
106,5307.639601783924
107,5386.766180107565
108,4352.474167189411
109,3629.2154705613666
110,4587.144993333147
111,3499.54797482291
112,4232.988968683098
113,4094.1486439635355
114,5363.697990163924
115,4001.5813264045955
116,3772.248995437497
117,3663.0872326390836
118,4234.402067208303
119,3978.5676658625116
120,4058.316153553675
121,5262.112899863493
122,3752.307132337638
123,4515.127869885712
124,4196.6842328656285
125,4147.296440995417
126,5276.170144244956
127,4397.582318567939
128,3589.989852354247
129,3958.394339029044
130,4045.3520420328514
131,4031.96477071156
132,5379.968599789654
133,5326.336958167778
134,5241.461193948361
135,4026.4972043432917
136,3841.941915832043
137,3608.3627551768677
138,4789.855171102442
139,3619.3467026716808
140,3941.773136014397
141,4670.920761383862
142,3448.7348874875397
143,3348.203624405109
144,4391.47102900445
145,3597.326378958011
146,4730.421120556703
147,3868.1145833937744
148,5424.717513122023
149,4356.813090549918
150,5465.757936982498
151,3539.7253694785904
152,5090.427547657056
153,5415.315362213079
154,4177.385241895937
155,5653.0815764925965
156,3617.3898481318047
157,4249.728953934391
158,3726.624771078794
159,3570.1343640794166
160,3949.6838476234198
161,3592.3085067232805
162,3415.688467016384
163,3223.4279887271273
164,5316.240851055378
165,3695.6327158298236
166,5473.731496174826
167,4834.131135061118
168,3956.9035424374656
169,3845.021351196719
170,5582.36769626004
171,3576.4450290566856
172,5424.7704035715
173,3553.4246291565414
174,3568.3581512292308
175,4190.823937625005
176,4322.929043739886
177,4688.147319485905
178,5390.031522598485
179,3513.8724802369898
180,4014.735585031699
181,4432.7835760977105
182,4033.2058481103295
183,4507.238377695148
184,4606.575076544064
185,4567.2580693926075
186,4970.27950134668
187,5346.294246251515
188,3493.8780563267765
189,3217.827331778486
190,4179.086751091109
191,3754.9420034051263
192,4055.865217226554
193,4275.7660040454
194,5085.549933957739
195,5376.687803716759
196,4430.2327634610365
197,5436.991009975154
198,3758.618925748929
199,3597.133537288863
200,3846.22311987143
201,4741.31542784755
202,3895.7937111664683
203,4846.265250330257
204,4395.953643284422
205,3646.205258400597
206,3783.2123776801013
207,4340.5465474688635
208,4863.552531913726
209,5084.210686727872
210,3431.857119289053
211,3540.7849170738327
212,3421.7836941343003
213,3874.317611759151
214,3797.8160895091546
215,3935.1976165273713
216,5499.374438728006
217,3838.422815093642
218,4342.260653757435
219,4112.259432427919
220,3661.3974088332343
221,3607.034815747223
222,4790.833873804528
223,4167.878091703481
224,4829.930855535229
225,4809.791898006768
226,4171.403911541924
227,4215.0331303017765
